MP_URL,accessibleAt_status,checked_URLs,persistentId
https://marketplace.sshopencloud.eu/tool-or-service/Bxb8sL,503.0,['http://www.languagelibrary.eu/new_ewnui/'],Bxb8sL
https://marketplace.sshopencloud.eu/tool-or-service/NEIh65,404.0,['https://www.wyzant.com/resources/lessons/study-skills/cornell-notes'],NEIh65
https://marketplace.sshopencloud.eu/tool-or-service/Q8QEA4,503.0,['https://www.corpus.by/Lemmatizer/?lang=en'],Q8QEA4
https://marketplace.sshopencloud.eu/tool-or-service/23jFco,503.0,['https://cosmotool.de.dariah.eu/cosmotool/personsearch/'],23jFco
https://marketplace.sshopencloud.eu/tool-or-service/YHpArY,408.0,"['https://data.crossda.hr/', 'https://www.crossda.hr/']",YHpArY
https://marketplace.sshopencloud.eu/tool-or-service/770fAy,408.0,['https://www.culturaitalia.it/'],770fAy
https://marketplace.sshopencloud.eu/tool-or-service/u4cQWg,403.0,['https://www.cvce.eu'],u4cQWg
https://marketplace.sshopencloud.eu/tool-or-service/CSqgvg,,[],CSqgvg
https://marketplace.sshopencloud.eu/tool-or-service/uay75H,503.0,['https://admin.dasch.swiss/'],uay75H
https://marketplace.sshopencloud.eu/tool-or-service/8lXz8g,,[],8lXz8g
https://marketplace.sshopencloud.eu/tool-or-service/BTDj5E,404.0,['http://humanities.lib.rochester.edu/data-dictionary-generator/'],BTDj5E
https://marketplace.sshopencloud.eu/tool-or-service/Q3CJKn,408.0,['https://datahero.com/'],Q3CJKn
https://marketplace.sshopencloud.eu/tool-or-service/NxYykl,,[],NxYykl
https://marketplace.sshopencloud.eu/tool-or-service/sM55Rf,404.0,['https://github.com/CHC-Computations/data_processing'],sM55Rf
https://marketplace.sshopencloud.eu/tool-or-service/uPBXdG,,[],uPBXdG
https://marketplace.sshopencloud.eu/tool-or-service/aidLnh,404.0,['https://dgd.ids-mannheim.de/dgd/pragdb.dgd_extern.welcome'],aidLnh
https://marketplace.sshopencloud.eu/tool-or-service/nW5hKp,404.0,['http://www.ddialliance.org/system/files/codebook2-0.xsl'],nW5hKp
https://marketplace.sshopencloud.eu/tool-or-service/wa0xoI,,[],wa0xoI
https://marketplace.sshopencloud.eu/tool-or-service/l5XZJ4,,[],l5XZJ4
https://marketplace.sshopencloud.eu/tool-or-service/0fbhOq,408.0,['https://dicolat.iatext.ulpgc.es/'],0fbhOq
https://marketplace.sshopencloud.eu/tool-or-service/hWx8Mm,500.0,['http://www.dictionsoftware.com/'],hWx8Mm
